"Категория 1";"Категория 2";"Категория 3";"Цена";"Ссылка";"Фото";"Описание";"Вес нетто";"Вес брутто";"Количество жил";"Длина бухты";"Число / сечение жил (шт/мм)";"Марка кабеля";"Пожаробезопасный";"Номинальное напряжение";"Материал жил";"Длина";"Ширина";"Материал хомута";"Многоразовый";"Цвет хомута";"Кол-во в упаковке";"Коды товара производителя";"Диаметр до усадки";"Диаметр после усадки";"Цвет";"Набор";"Клеевой слой";"Материал";"Температура эксплуатации";"Тип установки";"Глубина";"Высота";"Окно";"Степень защиты от пыли и влаги";"Использование";"Тип";"Число рядов DIN-реек";"Тип установки коробки";"Тип монтажного элемента";"Кратность упаковки";"Количество в наборе";"Количество модулей";"DIN рейка";"Вид (аббревиатура)";"Соответствует ГОСТу";"Макс. нагрузка";"Цвет покрытия";"Серия";"Длина зажима";"Номинальный ток";"Монтаж в";"Огнестойкая";"Количество гнезд";"Тип аксессуара"
"Свет и электрика";"Электромонтажные изделия и материалы";"Провода, кабели";"106.00";"https://220-volt.ru/catalog-749801/";"https://cdnmedia.220-volt.ru/content/products/749/749801/images/original/n1200x800_q80/1.jpeg";"Кабель UNIPUMP 44450 КВВ 3*1,5 (бухта 50 м), круглого сечения<br/><br/>Кабель с медными жилами, с изоляцией и оболочкой из поливинилхлоридного пластиката для присоединения погружных электронасосов к электрическим сетям, длительно работающих в воде под высоким давлением.<br/><br/><strong>Особенности:</strong><br/><br/>- Кабель с медными жилами, с изоляцией и оболочкой из поливинилхлоридного пластиката;<br/>- Число жил: 3;<br/>- Номинальное сечение жил: 1,5 мм2;<br/>- Номинальное напряжение: 450/750 В;<br/>- Климатическое исполнение: В; категории размещения 1—5 п ГОСТ 15150-69;<br/>- Температура окружающей среды: от -40С до +70С;<br/>- ТУ 16.К13-035-2004.<br/><br/><strong>Комплектация:</strong><br/><br/>- Кабель круглый, бухта 50м.";"5.5 кг";"5.5 кг";"3 шт";"50 м";"3x1.5";"КВВ";"нет";"450/750 В";"медь"
"Свет и электрика";"Электромонтажные изделия и материалы";"Кабельные хомуты-стяжки";"138.00";"https://220-volt.ru/catalog-186336/";"https://cdnmedia.220-volt.ru/content/products/186/186336/images/original/n1200x800_q80/1.jpeg";"Стяжки FORTISFLEX КСО 3.6х145 нейлоновые с отверстием под винт белый (упаковка 100шт.)<br/><br/><strong>Описание</strong><br/>Электротехнический крепеж обеспечивает удобный и быстрый монтаж любых кабелей и проводов, а также находит широкое применение в быту и строительстве. Улучшенная геометрия плоского замка обеспечивает равномерную стяжку проводов и кабелей по всему диаметру.<br/><br/><strong>Характеристики:</strong><br/>Материал хомута: нейлон<br/>Длина хомута (мм): 145<br/>Ширина хомута (мм): 3,6<br/>Цвет хомута: белый<br/>Кол-во в упаковке (шт): 100<br/><br/><strong>Комплектация:</strong><br/>Хомут: 100шт.<br/>Упаковка.";;"0.05 кг";;;;;;;;"145 мм";"3.6 мм";"нейлон";"нет";"белый";"100 шт";"55809"
"Свет и электрика";"Электромонтажные изделия и материалы";"Термоусадочные трубки";"559.00";"https://220-volt.ru/catalog-689502/";"https://cdnmedia.220-volt.ru/content/products/689/689502/images/original/n1200x800_q80/1.jpeg";"Термоусадочная трубка КВТ Т-BOX-16/8 ж/з 10м<br/><br/>Термоусадочная трубка – это материал для защиты электрических соединений. Его используют для изоляции и антикоррозионной защиты электрических соединений, бандажирования кабелей и проводов.<br/><br/><strong>Технические характеристики:</strong><br/><br/>- Длина: 10 м.;<br/>- Номинальный диаметр до/после усадки: 16/8 мм.;<br/>- Оптимальный диапазон усадки: 14.4 - 9.6 мм.;<br/>- Относительное удлинение при разрыве: не менее 300%;<br/>- Температура усадки: 80-110 °С;<br/>- Температура эксплуатации: от -55 °С до +125 °С;<br/>- Прочность на растяжение: не менее 15 Мпа;<br/>- Электрическая прочность: не менее 15 кВ/мм.;<br/>- Рабочее напряжение: до 690 В;<br/>- Удельное объемное электрическое сопротивление: 10 Ом*см.<br/><br/><strong>Особенности:</strong><br/><br/>- Термоусаживаемая трубка в евро-боксах;<br/>- Коэффициент усадки: 2:1;<br/>- Материал: полиолефин, не содержит галогенов «HF»;<br/>- Материал трубок не поддерживает горение и отличается низким индексом дымовыделения «нг-LS»;<br/>- Упаковка обеспечивает удобство хранения;<br/>- Мини-бокс имеет окно подачи трубки. Трубка необходимой длины легко вытягивается из коробки благодаря встроенной вращающейся катушке.<br/><br/><strong>Комплектация:</strong><br/><br/>- Термоусадочная трубка;<br/>- Упаковка.<br/><br/><strong>Габариты и вес:</strong><br/><br/>- Габариты упаковки: 190х165х55 мм;<br/>- Вес: 0,2 кг.";"0.2 кг";"0.2 кг";;;;;;;;"10000 мм";;;;;;;"16 мм";"8 мм";"желто-зеленый";"нет";"нет";"полиолефин";"-55 +125 °C"
"Свет и электрика";"Электромонтажные изделия и материалы";"Электрические щиты, боксы, шкафы";"8129.00";"https://220-volt.ru/catalog-430443/";"https://cdnmedia.220-volt.ru/content/products/430/430443/images/original/n1200x800_q80/1.jpeg";"Бокс ABB 1SLM006501A1206 навесной 36м прозр. дверь 3 ряда mistral65 с клемм<br/><br/>Способ монтажа Поверхностный<br/>Высота 600 мм<br/>Ширина 320 мм<br/>Глубина 155 мм<br/>Din рейка Да<br/>С монтажной панелью Нет<br/>Степень защиты IP IP65<br/>Материал корпуса Пластик<br/>Количество рядов 3<br/>Ширина в числах модульных расстояний 36<br/>Тип крышки С вырезом<br/>С прозрачной крышкой Да<br/>Глубина монтажа, установки<br/>Цвет Серый<br/>Номер цвета ral 7035";;"3.59 кг";;;;;;;;;"320 мм";;;;;;;;;;;"пластик";;"навесной";"155 мм";"600 мм";"да";"IP 65";"на улице";"щит";"3"
"Свет и электрика";"Электромонтажные изделия и материалы";"Кабельные хомуты-стяжки";"156.00";"https://220-volt.ru/catalog-564965/";"https://cdnmedia.220-volt.ru/content/products/564/564965/images/original/n1200x800_q80/1.jpeg";"Хомут кабельный пластиковый ALCA 623150 W 2,5L-150 (100 шт), белая<br/><br/><strong>Описание</strong><br/>Электротехнический крепеж обеспечивает удобный и быстрый монтаж любых кабелей и проводов, а также находит широкое применение в быту и строительстве. Улучшенная геометрия плоского замка обеспечивает равномерную стяжку проводов и кабелей по всему диаметру.<br/><br/><strong>Характеристики:</strong><br/>Материал хомута: нейлон<br/>Длина хомута (мм): 150<br/>Ширина хомута (мм): 2,5<br/>Цвет хомута: белый<br/>Кол-во в упаковке (шт): 100<br/><br/><strong>Комплектация:</strong><br/>Хомут: 100шт.<br/>Упаковка.";;"0.05 кг";;;;;;;;"150 мм";"2.5 мм";"нейлон";"нет";"белый";"100 шт";"623150"
"Свет и электрика";"Электромонтажные изделия и материалы";"Изолента";"2139.00";"https://220-volt.ru/catalog-812589/";"https://cdnmedia.220-volt.ru/content/products/812/812589/images/original/n1200x800_q80/1.jpeg";"Изолента ПВХ SCOTCH 7000042539 высшего класса усиленная 25мм х 33м х 0.25мм<br/><br/>Изолента ПВХ Высшего Класса Усиленная 25 мм х 33 м х 0,25 мм<br/>Поливинилхлоридная изоляционная лента Scotch 22 толщиной 0,25 мм обладает самой высокой износостойкостью и механической прочностью среди ПВХ-лент Scotch®. Обладает высокой устойчивостью к воздействию абразивных материалов, влаги, щелочей, кислот, коррозии.<br/>Краткое описание:<br/>Scotch 22 применяется для изоляции электрических шин, жгутирования проводов, ремонта оболочки кабеля, герметизации соединений в тяжелых условиях эксплуатации.<br/>Особенности:<br/>Диэлектрическая прочность - 45 кВ/мм, Самозатухающая, не поддерживает горения, Устойчива к ультрафиолету";;"0.67 кг";;;;;;;;"33 м";"25 мм";;;;;;;;"черный";"нет";;"ПВХ"
"Свет и электрика";"Электромонтажные изделия и материалы";"Электроустановочные монтажные коробки";"66.00";"https://220-volt.ru/catalog-335148/";"https://cdnmedia.220-volt.ru/content/products/335/335148/images/original/n1200x800_q80/1.jpeg";"Коробка распаячная ТДМ SQ1401-0303 КР 75х75х20 ОП бук IP40 инд.штрихкод<br/><br/>Для разветвления проводов и кабеля. Как часть системы электрической канализации, состоящей из кабель-канала и гофрированных труб. Копируют текстуру и цвет дерева, сочетаются с кабель-каналами аналогичного цвета. Коробки предназначены для крепления на стены и потолки. На внутренней стороне крышки сделаны специальные риски для вырезов под провод, кабель-канал или кабель. Крепеж крышки к основанию при помощи самореза.";;"0.032 кг";;;;;;;;"75 мм";"75 мм";;;;;;;;"бук";;;;;;;"20 мм";;"IP 40";;;;"наружный монтаж";"коробка распаячная";"1 шт"
"Свет и электрика";"Электромонтажные изделия и материалы";"Термоусадочные трубки";"355.00";"https://220-volt.ru/catalog-694713/";"https://cdnmedia.220-volt.ru/content/products/694/694713/images/original/n1200x800_q80/1.jpeg";"Набор КВТ 75889 Гермокомплект макси<br/><br/>Термоусадочная трубка – это расходный материал, предназначенный антикоррозионной защиты электрических соединений. Электрическая прочность изолирующего покрытия зависит от толщины изоляции. При выборе размера термоусадочной трубки следует учитывать то, что чем больше усядет трубка, тем толще будет слой изоляции. Наборы содержат наиболее популярные монтажные размеры и идеально подходят для розничных точек продаж и экспозиции в торговых залах.<br/><br/><strong>Технические характеристики:</strong><br/><br/>- Тип: набор;<br/>- Температура эксплуатации: от -55 до +125 С;<br/>- Длина: 200 мм;<br/>- Температура усадки: 115–140 С;<br/>- Клеевой слой: нет;<br/>- Коэффициент усадки: 3:1;<br/>- Материал: полиолефин, не поддерживает горение;<br/>- Цвет: черный;<br/><br/><strong>Особенности:</strong><br/><br/>- Форма поставки: набор в нарезке длиной по 200 мм;<br/>- Трубки черного цвета устойчивы к UV-излучению и погодным условиям;<br/>- Инструмент для монтажа: высокотемпературный фен ТТ-1800 или портативные бутановые горелки ''КВТ''.<br/><br/><strong>Комплектация:</strong><br/><br/>- ТТК(3:1)-4.8/1.6: длина 200 мм. (чёрный 8 шт..);<br/>- ТТК(3:1)-6/2: длина 200 мм. (чёрный 8 шт.;<br/>- ТТК(3:1)-9/3: длина 200 мм. (чёрный 4 шт.).";"0.1 кг";"0.1 кг";;;;;;;;"200 мм";;;;;;;"9 мм";"3 мм";"черный";"да";"нет";"полиолефин";"-55 +125 °C";;;;;;;;;;;;"20 шт."
"Свет и электрика";"Электромонтажные изделия и материалы";"Электрические щиты, боксы, шкафы";"936.00";"https://220-volt.ru/catalog-287945/";"https://cdnmedia.220-volt.ru/content/products/287/287945/images/original/n1200x800_q80/1.jpeg";"Бокс КЭАЗ P-BNN-2-24-IP40 24DIN 290х385х102мм IP40 117929<br/><br/>Конструкция Количество модулей DIN: 24 Тип корпуса: Навесной Безопасность Степень защиты (IP): IP40 Габариты и материалы Габариты изделия: Ширина (мм): 290 Габариты изделия: Высота (мм): 385 Габариты изделия: Глубина (мм): 102 Цвет дверцы: непрозрачная белая Масса изделия нетто (кг): 2.1 Материал корпуса: ABS-пластик";;"1.8 кг";;;;;;;;;"385 мм";;;;;;;;;;;"пластик";;"навесной";"102 мм";"290 мм";;"IP 40";"в помещении";"щит";;;;;;"24";"две"
"Свет и электрика";"Электромонтажные изделия и материалы";"Электрические щиты, боксы, шкафы";"3128.00";"https://220-volt.ru/catalog-498630/";"https://cdnmedia.220-volt.ru/content/products/498/498630/images/original/n1200x800_q80/1.jpeg";"Корпус ЭРА ЩМП-1-1 76 УХЛ3 IP31 металлический NO-114-08<br/><br/>Щит с монтажной панелью. Для сборки электрощитов самого разнообразного назначения (щитов автоматики и управления, силовых щитов, пунктов распределения и т. д.";;"1 кг";;;;;;;;;;;;;;;;;;;;"сталь";;"навесной";;;;;"в помещении";"щит";;;;;;;;"ЩМП"
"Свет и электрика";"Электромонтажные изделия и материалы";"Провода, кабели";"41.00";"https://220-volt.ru/catalog-680460/";"https://cdnmedia.220-volt.ru/content/products/680/680460/images/original/n1200x800_q80/1.jpeg";"Провод FALCON EYE ПВС 3х0,75 20м ГОСТ гибкий круглый<br/><br/>Провод соединительный ПВС 3x0,75 мм2, длина 20 метров, ГОСТ 7399-97. ПВС — Провод в Виниловой оболочке Соединительный на номинальное напряжение до 450/750 В. Провод гибкий круглый, является самым распространенным из богатого выбора кабельной продукции, применяемой для устройства электрических сетей потребителей. По механическим возможностям он способен легко выгибаться даже при значительном радиусе поворота, без внутренних обрывов и наружных повреждений изоляции.<br/>Характеристики:<br/>Категория размещения: для помещений<br/>Количество проводов: 3<br/>Сечение жилы: 0.75 мм2<br/>Пожаробезопасность: нет<br/>Длина бухты: 20 м<br/>Конструкция проводника: многожильный (stranded)<br/>Защита оболочкой: нет<br/>Жила кабеля: медная, круглой формы, многопроволочная<br/>Изоляция кабеля ПВС: ПВХ пластикат<br/>Скрутка кабеля ПВС: изолированные жилы скручены без заполнителя<br/>Оболочка кабеля ПВС: ПВХ пластикат, наложена с заполнением промежутков между жилами, придавая проводам круглую форму.<br/>Температура окружающей среды при эксплуатации провода: –25...+40 °С<br/>Монтаж должен производиться при температуре не ниже: –15 °С<br/>Предельная длительно допустимая рабочая температура жил: +70 °С<br/>Область применения:<br/>- для присоединения электроприборов и электроинструмента по уходу за жилищем и его ремонту, стиральных машин, холодильников, средств малой механизации для садоводства и огородничества, а также других подобных машин и приборов;<br/>- для изготовления удлинительных шнуров.";;"1.28 кг";"3 шт";"20 м";"3х0.75";"ПВС";"нет";"450 В";"медь";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"7399-97";"1.3 кВт"
"Свет и электрика";"Электромонтажные изделия и материалы";"Монтажные площадки";"269.00";"https://220-volt.ru/catalog-186310/";"https://cdnmedia.220-volt.ru/content/products/186/186310/images/original/n1200x800_q80/1.jpeg";"Монтажная площадка FORTISFLEX ПМС 25х25 самоклеющаяся белый (упаковка 100шт.)<br/><br/>Для монтажа кабельных хомутов на ровных поверхностях<br/>Материал: нейлон 6.6, самозатухающий, без галогенов<br/>Цвет: белый натуральный<br/>Температура эксплуатации: от -10°С до +65°С<br/>Толстый слой качественного двустороннего<br/>Быстрый и удобный монтаж без применения инструмента<br/>На поверхностях с плохой адгезионной способностью площадки могут быть дополнительно зафиксированы с помощью саморезов или гвоздей через крепежные отверстия<br/>Срок годности: 1 год<br/>Страна происхождения: Китай";;"0.92 кг";;;;;;;;"25 мм";"25 мм";;;;;"49445";;;;;;"нейлон";;;;;;;;;;;;;;;;;;;"белый"
"Свет и электрика";"Электромонтажные изделия и материалы";"Зажимы крокодилы";"38.00";"https://220-volt.ru/catalog-223982/";"https://cdnmedia.220-volt.ru/content/products/223/223982/images/original/n1200x800_q80/1.jpeg";"Зажим TDM SQ0541-0003 ''крокодил'' ЗКИ 5а 46мм в изоляции красный 10шт.<br/><br/>Применение<br/>- Для фиксации или временного соединения проводников.<br/>-Фигурные детали челюсти изготавливаются штамповкой из никелированного листового металла.<br/>- Изоляция зажима выполнена из ПВХ";;"0.02 кг";;;;;;;;;;;;;;"SQ0541-0003";;;"красный";;;;;;;;;;;;;;;"10 шт";;;;;;;;"ЗКИ";"46 мм";"5 А"
"Свет и электрика";"Электромонтажные изделия и материалы";"Термоусадочные трубки";"209.00";"https://220-volt.ru/catalog-698377/";"https://cdnmedia.220-volt.ru/content/products/698/698377/images/original/n1200x800_q80/1.jpeg";"Набор термоусадочных трубок STEKKER HSTGS3 N9, длина 10 см., коэф. усадки 3:1, черный (12шт в упак)<br/><br/>Набор термоусадочных трубок для изоляции концов кабеля, изломов и жил. Применяется совместно с термовоздуходувками при электромонтажных работах в различных сферах.<br/><br/><strong>Технические характеристики:</strong><br/><br/>- Длина изделия: 100 мм;<br/>- Цвет: черный;<br/>- Диапазон рабочих температур: от -55 до+125°C;<br/>- Температура усадки: от +85 до+120°C;<br/>- Коэффициент усадки: 3:1;<br/>- Диаметр до/после усадки: 12,7/4,23 мм;<br/>- Диаметр до/после усадки: 19,1/6,37 мм;<br/>- Диаметр до/после усадки: 15/5 мм2.<br/><br/><strong>Особенности:</strong><br/><br/>- Благодаря электроизоляционным свойствам и простому монтажу можно успешно заменять обычные изоляционные ленты;<br/>- Материал трубок не поддерживает горение и отличается низким индексом дымовыделения;<br/>- Прилегает очень плотно, она не смещается из-за разных механических воздействий;<br/>- Установка является простым и быстрым процессом, но все же необходимо знать некоторые правила пользования;<br/>- После усадки материал изоляции становится более прочным, поэтому провод становится еще больше устойчивым к механическим повреждениям и приобретает дополнительную жесткость в месте соединения.<br/><br/><strong>Комплектация:</strong><br/><br/>- Термоусадочная трубка ф12,7: 6 шт;<br/>- Термоусадочная трубка ф15: 3 шт;<br/>- Термоусадочная трубка ф19,1: 3 шт;<br/>- Упаковка.<br/><br/><strong>Габариты и вес:</strong><br/><br/>- Размер(ДхШхВ):110х18х10 мм;<br/>- Вес: 0,02 кг.";"0.07 кг";"0.07 кг";;;;;;;;"100 мм";;;;;;;"19.1 мм";"6.37 мм";"черный";"да";"нет";"полиолефин";"-55 +125 °C";;;;;;;;;;;;"12 шт."
"Свет и электрика";"Электромонтажные изделия и материалы";"Кабельные хомуты-стяжки";"229.00";"https://220-volt.ru/catalog-403937/";"https://cdnmedia.220-volt.ru/content/products/403/403937/images/original/n1200x800_q80/1.jpeg";"Хомут ПЕРЕДОВИК 32017 пластиковый белый 4.8х200 уп./100шт нейлон<br/><br/><strong>Описание</strong><br/>Электротехнический крепеж обеспечивает удобный и быстрый монтаж любых кабелей и проводов, а также находит широкое применение в быту и строительстве. Улучшенная геометрия плоского замка обеспечивает равномерную стяжку проводов и кабелей по всему диаметру.<br/><br/><strong>Характеристики:</strong><br/>Материал хомута: нейлон<br/>Длина хомута (мм): 200<br/>Ширина хомута (мм): 4,8<br/>Цвет хомута: белый<br/>Кол-во в упаковке (шт): 100<br/><br/><strong>Комплектация:</strong><br/>Хомут: 100шт.<br/>Упаковка.";;"0.12 кг";;;;;;;;"200 мм";"4.8 мм";"нейлон";"нет";"белый";"100 шт";"32017"
"Свет и электрика";"Электромонтажные изделия и материалы";"Электроустановочные монтажные коробки";"559.00";"https://220-volt.ru/catalog-669391/";"https://cdnmedia.220-volt.ru/content/products/669/669391/images/original/n1200x800_q80/1.jpeg";"Коробка монтажная Simon 24 для накладного монтажа на 2 модуля слоновая кость<br/><br/>Коробка монтажная Simon 24 для накладного монтажа на 2 модуля цвета слоновая кость. Данная коробка подходит для организации двухмодульного блока. Конструкция монтируется на рабочую поверхность с помощью винтов или крепежной пары – пробка/дюбель, для этого в задней стенке предусмотрены отверстия. Коробка предполагает множество вариантов кабельных вводов – проемы в боковых ребрах и три съемных мембраны задней стенки. Для винтовой фиксации механизмов, через пластину суппорта, предусмотрены резьбовые стойки.<br/>Характеристики:<br/>Цвет: слоновая кость<br/>Покрытие: глянцевое<br/>Способ монтажа: накладной/открытый<br/>Материал изделия: поликарбонат<br/>Количество постов: 2<br/>Поле для надписи: нет<br/>Ориентация монтажа: горизонтальная/вертикальная<br/>Степень защиты: IP20<br/>Ширина: 85 мм<br/>Длина: 156 мм<br/>Высота: 43 мм";;"0.136 кг";;;;;;;;"156 мм";"85 мм";;;;;;;;"слоновая кость";;;;;;;"43 мм";;"IP 20";;;;"наружный монтаж";"коробка установочная";"1 шт";;;;;;;;;;;"кирпич/бетон";"нет"
"Свет и электрика";"Электромонтажные изделия и материалы";"Электрические щиты, боксы, шкафы";"34.00";"https://220-volt.ru/catalog-431140/";"https://cdnmedia.220-volt.ru/content/products/431/431140/images/original/n1200x800_q80/1.jpeg";"Стекло EKF ak-4-1 для щру<br/><br/>Исполнение Другой<br/>Ширина 103 мм<br/>Высота 78 мм<br/>Глубина 3 мм<br/>Цвет Серый<br/>Материал Пластик<br/>Исполнение в виде стеклянной двери<br/>Тип поверхности Другой<br/>Степень защиты IP IP54";;"0.02 кг";;;;;;;;;;;;;;;;;;;;;;"навесной";;;;"IP 54";"в помещении";"стекло"
"Свет и электрика";"Электромонтажные изделия и материалы";"Электрические щиты, боксы, шкафы";"2077.00";"https://220-volt.ru/catalog-734432/";"https://cdnmedia.220-volt.ru/content/products/734/734432/images/original/n1200x800_q80/1.jpeg";"Металлич. корпус навесной ЭРА SIMPLE ЩМПг (Б0041659) (окно)-00 IP54 (290х220х175)<br/><br/>Корпус с монтажной панелью для изготовления щитов управления и автоматизации технологических процессов, установки силового оборудования.<br/><br/><strong>Особенности:</strong><br/><br/>- Изготовлен по ГОСТу из высококачественной стали;<br/>- Съёмная монтажная панель упрощает установку электрооборудования;<br/>- Позволяет закреплять массивные элементы;<br/>- Для максимальной защиты от коррозии применено фосфотирование и последующее нанесение - порошковой краски;<br/>- Аккуратный эстетичный внешний вид.<br/><br/><strong>Комплектация:</strong><br/><br/>- Замок;<br/>- Ключи;<br/>- Корпус.";;"1.5 кг";;;;;;;;;"220 мм";;;;;;;;;;;"металл";;"навесной";"175 мм";"290 мм";;"IP 54";"на улице";"щит";;;;;;"1";;"ЩМП"
"Свет и электрика";"Электромонтажные изделия и материалы";"Аксессуары для электромонтажа";"1349.00";"https://220-volt.ru/catalog-599266/";"https://cdnmedia.220-volt.ru/content/products/599/599266/images/original/n1200x800_q80/1.jpeg";"Разделитель входов ZAMEL SEM-01 4 диода IP20 на DIN рейку<br/><br/>ПроизводительZAMEL<br/>Тип преобразователяразделитель сигналов<br/>МонтажDIN<br/>Рабочая температура-20...45°C<br/>Класс защитыIP20<br/>Внешние размеры90 x 17.5 x 66мм<br/>Количество клемм8<br/>Максимальное напряжение300В ACДополнительная информация<br/>Масса брутто: 0.06 kg";;"0.02 кг";;;;;;;;;;;;;;"SEM-01";;;;;;;;;;;;"IP 20";;;;;;;;;;;;;;;;;;;"8";"разделитель входов"
"Свет и электрика";"Электромонтажные изделия и материалы";"Кабельные хомуты-стяжки";"15.00";"https://220-volt.ru/catalog-515623/";"https://cdnmedia.220-volt.ru/content/products/515/515623/images/original/n1200x800_q80/1.jpeg";"Хомут-стяжка НК 4,2х250 черный (нейлон) (6 шт) - пакет 800980<br/><br/><strong>Описание</strong><br/>Электротехнический крепеж обеспечивает удобный и быстрый монтаж любых кабелей и проводов, а также находит широкое применение в быту и строительстве. Улучшенная геометрия плоского замка обеспечивает равномерную стяжку проводов и кабелей по всему диаметру.<br/><br/><strong>Характеристики:</strong><br/>Материал хомута: нейлон<br/>Длина хомута (мм): 250<br/>Ширина хомута (мм): 4,2<br/>Цвет хомута: черный<br/>Кол-во в упаковке (шт): 6<br/><br/><strong>Комплектация:</strong><br/>Хомут: 6шт.<br/>Упаковка.";;"0.014 кг";;;;;;;;"250 мм";"4.2 мм";"нейлон";"нет";"черный";"6 шт";"800980"
